2012 rank	City	State	2012 estimate	2010 Census	Change	2012 land area	2012 population density	ANSI	Location
119	Amarillo	Texas	195250	190695	2.39%	99.476 sq mi	1,917 per sq mi	2409694	35.1978 N 101.8287 W
128	Knoxville	Tennessee	182200	178874	1.86%	98.521 sq mi	1,816 per sq mi	2404842	35.9709 N 83.9465 W
35	Sacramento	California	475516	466488	1.94%	97.915 sq mi	4,764 per sq mi	2411751	38.5666 N 121.4686 W
179	Clarksville	Tennessee	142519	132929	7.21%	97.603 sq mi	1,362 per sq mi	2404061	36.5664 N 87.3452 W
30	Milwaukee	Wisconsin	598916	594833	0.69%	96.122 sq mi	6,188 per sq mi	1583724	43.0633 N 87.9667 W
50	Arlington	Texas	375600	365438	2.78%	95.882 sq mi	3,811 per sq mi	2409731	32.7007 N 97.1247 W
151	Lancaster	California	159055	156633	1.55%	94.276 sq mi	1,661 per sq mi	2411620	34.6936 N 118.1753 W
264	Norwalk	California	106278	105549	0.69%	9.707 sq mi	10,873 per sq mi	2411281	33.9069 N 118.0834 W
233	El Monte	California	115111	113475	1.44%	9.562 sq mi	11,867 per sq mi	2410413	34.0746 N 118.0291 W
239	Inglewood	California	111182	109673	1.38%	9.068 sq mi	12,095 per sq mi	2410106	33.9561 N 118.3443 W
72	Lincoln	Nebraska	265404	258379	2.72%	89.114 sq mi	2,899 per sq mi	2395713	40.8090 N 96.6804 W
200	Waco	Texas	127018	124805	1.77%	88.964 sq mi	1,403 per sq mi	2412162	31.5601 N 97.1860 W
81	Laredo	Texas	244731	236091	3.66%	88.908 sq mi	2,655 per sq mi	2411626	27.5477 N 99.4869 W
216	Denton	Texas	121123	113383	6.83%	87.952 sq mi	1,289 per sq mi	2410323	33.2151 N 97.1417 W
22	Seattle	Washington	634535	608660	4.25%	83.943 sq mi	7,251 per sq mi	2411856	47.6205 N 122.3509 W
224	Beaumont	Texas	118228	118296	0.06%	82.801 sq mi	1,429 per sq mi	2409806	30.0843 N 94.1458 W
146	Springfield	Missouri	162191	159498	1.69%	81.720 sq mi	1,952 per sq mi	2395942	37.1942 N 93.2913 W
59	Riverside	California	313673	303871	3.23%	81.140 sq mi	3,745 per sq mi	2410965	33.9381 N 117.3932 W
26	Baltimore	Maryland	621342	620961	0.06%	80.944 sq mi	7,672 per sq mi	1702381	39.3002 N 76.6105 W
104	Des Moines	Iowa	206688	203433	1.60%	80.869 sq mi	2,516 per sq mi	2394522	41.5739 N 93.6167 W
67	Toledo	Ohio	284012	287208	1.11%	80.692 sq mi	3,559 per sq mi	1086537	41.6641 N 83.5819 W
174	Paterson	New Jersey	145219	146199	0.67%	8.428 sq mi	17,346 per sq mi	885343	40.9147 N 74.1628 W
99	Boise	Idaho	212303	205671	3.22%	79.364 sq mi	2,592 per sq mi	2409876	43.5985 N 116.2311 W
65	Cincinnati	Ohio	296550	296943	0.13%	77.942 sq mi	3,810 per sq mi	1086201	39.1399 N 84.5064 W
48	Cleveland	Ohio	390928	396815	1.48%	77.697 sq mi	5,107 per sq mi	1085963	41.4781 N 81.6795 W
226	Independence	Missouri	117270	116830	0.38%	77.567 sq mi	1,506 per sq mi	2395422	39.0853 N 94.3513 W
96	Fremont	California	221986	214089	3.69%	77.459 sq mi	2,764 per sq mi	2410545	37.4944 N 121.9411 W
90	Baton Rouge	Louisiana	230058	229493	0.25%	76.947 sq mi	2,982 per sq mi	2403821	30.4485 N 91.1259 W
82	Madison	Wisconsin	240323	233209	3.05%	76.789 sq mi	3,037 per sq mi	1583625	43.0878 N 89.4301 W
285	Las Cruces	New Mexico	101047	97618	3.51%	76.29 sq mi	1,279 per sq mi		32.3197 N 106.7653 W
12	Jacksonville	Florida	836507	821784	1.79%	747.003 sq mi	1,120 per sq mi	2404783	30.3370 N 81.6613 W
133	Overland Park	Kansas	178919	173372	3.20%	74.841 sq mi	2,317 per sq mi	485639	38.8890 N 94.6906 W
217	Victorville	California	120336	115903	3.82%	73.178 sq mi	1,584 per sq mi	2412156	34.5277 N 117.3536 W
149	Sioux Falls	South Dakota	159908	153888	3.91%	72.964 sq mi	2,109 per sq mi	1267566	43.5383 N 96.7320 W
270	Wichita Falls	Texas	104552	104553	0.00%	72.140 sq mi	1,449 per sq mi	2412261	33.9067 N 98.5259 W
129	Grand Prairie	Texas	181824	175396	3.66%	72.105 sq mi	2,433 per sq mi	2410632	32.6842 N 97.0210 W
219	Midland	Texas	119385	111147	7.41%	72.071 sq mi	1,542 per sq mi	2411096	32.0299 N 102.1097 W
70	Plano	Texas	272068	259841	4.71%	71.581 sq mi	3,630 per sq mi	2411437	33.0508 N 96.7479 W
197	Cedar Rapids	Iowa	128119	126326	1.42%	70.799 sq mi	1,784 per sq mi	467567	41.9670 N 91.6778 W
274	Daly City	California	103690	101123	2.54%	7.664 sq mi	13,195 per sq mi	2410291	37.7009 deg N 122.4650 W
130	Newport News	Virginia	180726	180719	0.00%	68.714 sq mi	2,630 per sq mi	1498555	37.0760 N 76.5217 W
97	Gilbert	Arizona	221140	208453	6.09%	67.963 sq mi	3,067 per sq mi	2412682	33.3102 N 111.7422 W
93	Irving	Texas	225427	216290	4.22%	67.017 sq mi	3,227 per sq mi	2410117	32.8577 N 96.9700 W
91	Irvine	California	229985	212375	8.29%	66.106 sq mi	3,213 per sq mi	2410116	33.6784 N 117.7713 W
272	Palm Bay	Florida	104124	103190	0.91%	65.702 sq mi	1,571 per sq mi	2404463	27.9856 N 80.6626 W
80	Chandler	Arizona	245628	236123	4.03%	64.413 sq mi	3,666 per sq mi	2409433	33.2829 N 111.8549 W
236	Columbia	Missouri	113225	108500	4.35%	63.077 sq mi	1,720 per sq mi	2393605	38.9479 N 92.3261 W
284	Davenport	Iowa	101363	99685	1.68%	62.948 sq mi	1,584 per sq mi	2394467	41.5541 N 90.6040 W
177	McKinney	Texas	143223	131117	9.23%	62.209 sq mi	2,108 per sq mi	2411064	33.2012 N 96.6680 W
164	Joliet	Illinois	148268	147433	0.57%	62.114 sq mi	2,374 per sq mi	2395477	41.5181 N 88.1584 W
114	Akron	Ohio	198549	199110	0.28%	62.033 sq mi	3,210 per sq mi	1086993	41.0805 N 81.5214 W
58	St. Louis	Missouri	318172	319294	0.35%	61.909 sq mi	5,157 per sq mi	767557	38.6357 N 90.2446 W
196	Frisco	Texas	128176	116989	9.56%	61.804 sq mi	1,893 per sq mi	2410549	33.1510 N 96.8193 W
78	St. Petersburg	Florida	246541	244769	0.72%	61.742 sq mi	3,964 per sq mi	2405401	27.7620 N 82.6441 W
64	Stockton	California	297984	291707	2.15%	61.670 sq mi	4,730 per sq mi	2411987	37.9763 N 121.3133 W
277	Broken Arrow	Oklahoma	102019	98850	3.21%	61.571 sq mi	1,605 per sq mi	2409914	36.0365 N 95.7810 W
203	Gainesville	Florida	126047	124354	1.36%	61.305 sq mi	2,028 per sq mi	2403676	29.6788 N 82.3459 W
160	Rockford	Illinois	150843	152871	1.33%	61.081 sq mi	2,503 per sq mi	2396405	42.2634 N 89.0628 W
24	Washington	District of Columbia	632323	601723	5.09%	61.048 sq mi	9,856 per sq mi	2390665	38.9041 N 77.0171 W
29	Oklahoma City	Oklahoma	599199	579999	3.31%	606.410 sq mi	956 per sq mi	2411311	35.4671 N 97.5137 W
54	Honolulu	Hawaii	345610	337256	2.48%	60.521 sq mi	5,573 per sq mi	2630783	21.3259 N 157.8453 W
198	Topeka	Kansas	127939	127473	0.37%	60.168 sq mi	2,119 per sq mi	485655	39.0362 N 95.6948 W
263	Cambridge	Massachusetts	106471	105162	1.24%	6.385 sq mi	16,469 per sq mi	619396	42.3760 N 71.1183 W
4	Houston	Texas	2160821	2100263	2.88%	599.589 sq mi	3,501 per sq mi	2410796	29.7805 N 95.3863 W
87	Glendale	Arizona	232143	226721	2.39%	59.976 sq mi	3,780 per sq mi	2410596	33.5331 N 112.1899 W
102	Richmond	Virginia	210309	204214	2.98%	59.805 sq mi	3,415 per sq mi	1789073	37.5314 N 77.4760 W
193	Olathe	Kansas	130045	125872	3.32%	59.661 sq mi	2,110 per sq mi	485633	38.8843 N 94.8188 W
227	Springfield	Illinois	117126	116250	0.75%	59.480 sq mi	1,954 per sq mi	2395940	39.7639 N 89.6708 W
103	Spokane	Washington	209525	208916	0.29%	59.247 sq mi	3,526 per sq mi	2411956	47.6736 N 117.4166 W
98	San Bernardino	California	213295	209924	1.61%	59.201 sq mi	3,546 per sq mi	2411777	34.1393 N 117.2953 W
86	Garland	Texas	233564	226876	2.95%	57.085 sq mi	3,974 per sq mi	2410572	32.9098 N 96.6304 W
45	Oakland	California	400740	390724	2.56%	55.786 sq mi	7,004 per sq mi	2411292	37.7699 N 122.2256 W
181	Dayton	Ohio	141359	141527	0.12%	55.652 sq mi	2,543 per sq mi	1086666	39.7774 N 84.1996 W
61	Pittsburgh	Pennsylvania	306211	305704	0.17%	55.367 sq mi	5,521 per sq mi	1214818	40.4398 N 79.9766 W
234	Murfreesboro	Tennessee	114038	108755	4.86%	55.346 sq mi	1,965 per sq mi	2404342	35.8522 N 86.4161 W
279	West Palm Beach	Florida	101903	99919	1.99%	55.293 sq mi	1,807 per sq mi	2405713	26.7483 N 80.1266 W
